,model,brand,year,price,mileage,fuel_type,transmission
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Gasoline,Manual
1,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,Manual
2,Hyundai Grand i10,Hyundai,2014,325000,28000,Gasoline,Manual
3,Ford EcoSport Titanium,Ford,2014,575000,36000,Diesel,Manual
4,Ford Figo,Ford,2012,175000,41000,Diesel,Manual
5,Hyundai Eon,Hyundai,2013,190000,25000,Gasoline,Manual
6,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Manual
7,Maruti Suzuki Alto,Maruti,2015,250000,60000,Gasoline,Manual
8,Skoda Fabia Classic,Skoda,2010,182000,60000,Gasoline,Manual
9,Maruti Suzuki Stingray,Maruti,2015,315000,30000,Gasoline,Manual
10,Hyundai Elite i20,Hyundai,2014,415000,32000,Gasoline,Manual
11,Mahindra Scorpio SLE,Mahindra,2015,320000,48660,Diesel,Manual
12,Hyundai Santro Xing,Hyundai,2007,80000,45000,Gasoline,Automatic
13,Mahindra Jeep CL550,Mahindra,2006,425000,40,Diesel,Manual
14,Audi A8,Audi,2017,1000000,4000,Gasoline,Manual
15,Audi Q7,Audi,2014,500000,16934,Diesel,Manual
16,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual
17,Maruti Suzuki Alto,Maruti,2014,160000,35550,Gasoline,Manual
18,Mahindra Scorpio S10,Mahindra,2016,350000,43000,Diesel,Manual
19,Mahindra Scorpio S10,Mahindra,2016,310000,39522,Diesel,Manual
20,Maruti Suzuki Alto,Maruti,2015,75000,39000,Gasoline,Manual
21,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Gasoline,Manual
22,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Gasoline,Automatic
23,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Gasoline,Manual
24,Maruti Suzuki Alto,Maruti,2017,190000,72000,Gasoline,Manual
25,Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel,Manual
26,Maruti Suzuki Alto,Maruti,2008,95000,70000,Gasoline,Manual
27,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Manual
28,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,Manual
29,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,Manual
30,Maruti Suzuki Swift,Maruti,2017,180000,15487,Gasoline,Manual
31,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Gasoline,Manual
32,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Gasoline,Manual
33,Toyota Innova 2.0,Toyota,2012,650000,82000,Diesel,Manual
34,Renault Lodgy 85,Renault,2018,689999,20000,Diesel,Manual
35,Skoda Yeti Ambition,Skoda,2012,448000,68000,Diesel,Manual
36,Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel,Manual
37,Renault Duster 110,Renault,2012,501000,38000,Diesel,Manual
38,Renault Duster 85,Renault,2013,489999,27000,Diesel,Manual
39,Honda City 1.5,Honda,2011,280000,33000,Gasoline,Manual
40,Maruti Suzuki Alto,Maruti,2015,250000,60000,Gasoline,Automatic
41,Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel,Manual
42,Honda Amaze,Honda,2013,284999,46000,Diesel,Manual
43,Honda Amaze 1.5,Honda,2015,345000,36000,Diesel,Manual
44,Honda City,Honda,2015,499999,55000,Gasoline,Manual
45,Datsun Redi GO,Datsun,2017,235000,16000,Gasoline,Automatic
46,Maruti Suzuki SX4,Maruti,2010,249999,36000,Gasoline,Manual
47,Mitsubishi Pajero Sport,Mitsubishi,2015,1475000,47000,Diesel,Manual
48,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel,Manual
49,Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel,Automatic
50,Mahindra Scorpio S10,Mahindra,2015,250000,48508,Diesel,Automatic
51,Maruti Suzuki Swift,Maruti,2017,180000,15487,Gasoline,Automatic
52,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Gasoline,Automatic
53,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Gasoline,Automatic
54,Mahindra Scorpio S10,Mahindra,2015,395000,35000,Diesel,Manual
55,Maruti Suzuki Swift,Maruti,2017,220000,30874,Gasoline,Automatic
56,Honda City ZX,Honda,2017,170000,15000,Diesel,Manual
57,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Gasoline,Manual
58,Ford Figo,Ford,2012,175000,41000,Diesel,Manual
59,Hyundai Eon,Hyundai,2013,190000,25000,Gasoline,Automatic
60,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Manual
61,Ford EcoSport Ambiente,Ford,2016,830000,24530,Diesel,Manual
62,Tata Indigo eCS,Tata,2017,200000,130000,Diesel,Automatic
