Buying Price,Maintenance Cost,Number of Doors,Number of Persons,Lug_Boot,Safety,Classification
vhigh,vhigh,5,5,big,high,1
vhigh,vhigh,2,2,small,low,0
vhigh,vhigh,2,2,small,med,0
vhigh,vhigh,2,2,small,high,0
vhigh,vhigh,2,2,med,low,0
vhigh,vhigh,2,2,med,med,0
vhigh,vhigh,2,2,med,high,0
vhigh,vhigh,2,2,big,low,0
vhigh,vhigh,2,2,big,med,0
vhigh,vhigh,2,2,big,high,0
vhigh,vhigh,2,4,small,low,0
vhigh,vhigh,2,4,small,med,0
vhigh,vhigh,2,4,small,high,0
vhigh,vhigh,2,4,med,low,0
vhigh,vhigh,2,4,med,med,0
vhigh,vhigh,2,4,med,high,0
vhigh,vhigh,2,4,big,low,0
vhigh,vhigh,2,4,big,med,0
vhigh,vhigh,2,4,big,high,0
vhigh,vhigh,2,5,small,low,0
vhigh,vhigh,2,5,small,med,0
vhigh,vhigh,2,5,small,high,0
vhigh,vhigh,2,5,med,low,0
vhigh,vhigh,2,5,med,med,0
vhigh,vhigh,2,5,med,high,0
vhigh,vhigh,2,5,big,low,0
vhigh,vhigh,2,5,big,med,0
vhigh,vhigh,2,5,big,high,0
vhigh,vhigh,3,2,small,low,0
vhigh,vhigh,3,2,small,med,0
vhigh,vhigh,3,2,small,high,0
vhigh,vhigh,3,2,med,low,0
vhigh,vhigh,3,2,med,med,0
vhigh,vhigh,3,2,med,high,0
vhigh,vhigh,3,2,big,low,0
vhigh,vhigh,3,2,big,med,0
vhigh,vhigh,3,2,big,high,0
vhigh,vhigh,3,4,small,low,0
vhigh,vhigh,3,4,small,med,0
vhigh,vhigh,3,4,small,high,0
vhigh,vhigh,3,4,med,low,0
vhigh,vhigh,3,4,med,med,0
vhigh,vhigh,3,4,med,high,0
vhigh,vhigh,3,4,big,low,0
vhigh,vhigh,3,4,big,med,0
vhigh,vhigh,3,4,big,high,0
vhigh,vhigh,3,5,small,low,0
vhigh,vhigh,3,5,small,med,0
vhigh,vhigh,3,5,small,high,0
vhigh,vhigh,3,5,med,low,0
vhigh,vhigh,3,5,med,med,0
vhigh,vhigh,3,5,med,high,0
vhigh,vhigh,3,5,big,low,0
vhigh,vhigh,3,5,big,med,0
vhigh,vhigh,3,5,big,high,0
vhigh,vhigh,4,2,small,low,0
vhigh,vhigh,4,2,small,med,0
vhigh,vhigh,4,2,small,high,0
vhigh,vhigh,4,2,med,low,0
vhigh,vhigh,4,2,med,med,0
vhigh,vhigh,4,2,med,high,0
vhigh,vhigh,4,2,big,low,0
vhigh,vhigh,4,2,big,med,0
vhigh,vhigh,4,2,big,high,0
vhigh,vhigh,4,4,small,low,0
vhigh,vhigh,4,4,small,med,0
vhigh,vhigh,4,4,small,high,0
vhigh,vhigh,4,4,med,low,0
vhigh,vhigh,4,4,med,med,0
vhigh,vhigh,4,4,med,high,0
vhigh,vhigh,4,4,big,low,0
vhigh,vhigh,4,4,big,med,0
vhigh,vhigh,4,4,big,high,0
vhigh,vhigh,4,5,small,low,0
vhigh,vhigh,4,5,small,med,0
vhigh,vhigh,4,5,small,high,0
vhigh,vhigh,4,5,med,low,0
vhigh,vhigh,4,5,med,med,0
vhigh,vhigh,4,5,med,high,0
vhigh,vhigh,4,5,big,low,0
